Category,Subcategory,OrderQuantity,SalesAmount
Accessories,Helmets,7123.0,144721.66090000063
Accessories,Bike Racks,1616.0,111875.19599999998
Accessories,Bottles and Cages,1447.0,4218.795599999999
Accessories,Cleaners,1352.0,6278.9577000000045
Accessories,Hydration Packs,1190.0,38375.162000000004
Accessories,Pumps,632.0,7563.784199999998
Accessories,Locks,617.0,9217.08
Accessories,Tires and Tubes,379.0,519.8775999999998
Bikes,Road Bikes,19159.0,1.4333099535199987E7
Bikes,Mountain Bikes,12216.0,1.3955924318900576E7
Bikes,Touring Bikes,6673.0,5352278.2053000145
Clothing,Jerseys,10796.0,322229.3340999989
Clothing,Gloves,6333.0,113407.1333
Clothing,Shorts,4913.0,186624.72040000084
Clothing,Vests,3405.0,123124.2849000001
Clothing,Caps,3361.0,17299.160399999975
Clothing,Tights,2541.0,112247.24460000034
Clothing,Socks,2514.0,13261.53149999999
Clothing,Bib-Shorts,1702.0,91155.63160000017
Components,Road Frames,6713.0,2266342.29420001
Components,Mountain Frames,6407.0,2548303.6492999992
Components,Wheels,3086.0,400121.8182999982
Components,Handlebars,2374.0,102984.04299999982
Components,Pedals,2257.0,84926.1080000002
Components,Touring Frames,2110.0,925666.8407000046
Components,Saddles,1295.0,33690.22100000007
Components,Derailleurs,687.0,41456.247000000054
Components,Brakes,655.0,41736.71100000004
Components,Cranksets,625.0,115138.07780000009
